group,id,course,semester,grade
1,16,Artificial Intelligence and Robotics,1,10
1,16,Artificial Intelligence and Robotics,1,6.5
1,16,Artificial Intelligence and Robotics,1,14
1,16,Artificial Intelligence and Robotics,1,9
1,16,Artificial Intelligence and Robotics,1,11.5
1,16,Artificial Intelligence and Robotics,1,13
1,16,Astroengineering and Planetary Colonization,1,7
1,16,Astroengineering and Planetary Colonization,1,16
1,16,Astroengineering and Planetary Colonization,1,14.5
1,16,Cybernetics and Human Augmentation,2,12.5
1,16,Cybernetics and Human Augmentation,2,12.25
1,16,Cybernetics and Human Augmentation,2,11
1,16,Cybernetics and Human Augmentation,2,14.25
1,16,Cybernetics and Human Augmentation,2,12.5
1,16,Cybernetics and Human Augmentation,2,12
1,16,Energy Harvesting and Sustainability,2,6
1,16,Energy Harvesting and Sustainability,2,9.5
1,16,Energy Harvesting and Sustainability,2,9
1,16,Energy Harvesting and Sustainability,2,11.5
1,16,Energy Harvesting and Sustainability,2,12
1,16,Energy Harvesting and Sustainability,2,8
1,16,Energy Harvesting and Sustainability,2,11.5
1,16,Energy Harvesting and Sustainability,2,6
1,16,Energy Harvesting and Sustainability,2,12.5
1,16,Energy Harvesting and Sustainability,2,13.5
1,16,Interstellar Travel and Navigation,2,7.6
1,16,Interstellar Travel and Navigation,2,9
1,16,Interstellar Travel and Navigation,2,9.4
1,16,Interstellar Travel and Navigation,2,7.4
1,16,Interstellar Travel and Navigation,2,8.4
1,16,Interstellar Travel and Navigation,2,8
1,16,Interstellar Travel and Navigation,2,7.9
1,16,Neurotechnology and Mind Control,2,10
1,16,Neurotechnology and Mind Control,2,4
1,16,Neurotechnology and Mind Control,2,7.5
1,16,Neurotechnology and Mind Control,2,9.5
1,16,Quantum Physics and Time Manipulation,1,11
1,16,Quantum Physics and Time Manipulation,1,7
1,16,Quantum Physics and Time Manipulation,1,11.5
1,16,Quantum Physics and Time Manipulation,1,7.5
1,16,Quantum Physics and Time Manipulation,1,10.5
1,16,Quantum Physics and Time Manipulation,1,4
1,16,Space Law and Ethics,2,2.8
1,16,Space Law and Ethics,2,6.4
1,16,Space Law and Ethics,2,10.4
1,16,Virtual Reality and Simulated Environments,1,8.5
1,16,Virtual Reality and Simulated Environments,1,11
1,16,Virtual Reality and Simulated Environments,1,10.5
1,16,Virtual Reality and Simulated Environments,1,7
1,16,Virtual Reality and Simulated Environments,1,11
1,16,Virtual Reality and Simulated Environments,1,14
1,16,Virtual Reality and Simulated Environments,1,11.5
1,16,Xenobiology and Extraterrestrial Life,1,6.25
1,16,Xenobiology and Extraterrestrial Life,1,12.5
1,16,Xenobiology and Extraterrestrial Life,1,16.75
1,16,Xenobiology and Extraterrestrial Life,1,13.75
1,16,Xenobiology and Extraterrestrial Life,1,12.25
1,39,Artificial Intelligence and Robotics,1,8
1,39,Artificial Intelligence and Robotics,1,11
1,39,Artificial Intelligence and Robotics,1,9.5
1,39,Artificial Intelligence and Robotics,1,11
1,39,Artificial Intelligence and Robotics,1,5.5
1,39,Artificial Intelligence and Robotics,1,9.5
1,39,Astroengineering and Planetary Colonization,1,17
1,39,Astroengineering and Planetary Colonization,1,13
1,39,Astroengineering and Planetary Colonization,1,8
1,39,Cybernetics and Human Augmentation,2,13.25
1,39,Cybernetics and Human Augmentation,2,13.25
1,39,Cybernetics and Human Augmentation,2,11
1,39,Cybernetics and Human Augmentation,2,13.5
1,39,Cybernetics and Human Augmentation,2,10
1,39,Energy Harvesting and Sustainability,2,9.5
1,39,Energy Harvesting and Sustainability,2,10
1,39,Energy Harvesting and Sustainability,2,10.5
